N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC
2120,39677,19979,1,6331
3510,44895,24222,2,8126
2858,59140,35651,3,9286
10327,40775,22472,4,5181
1132,39735,23741,5,3308
4601,37608,19045,6,4738
1695,51216,25445,7,9263
6700,47157,26244,8,7737
1666,41063,21148,9,7160
2445,42301,21275,10,5402
1291,43950,27509,11,3481
6156,48660,27260,12,7071
1644,31688,16366,13,4936
4888,45586,25107,14,5799
4218,37940,18371,15,5645
16925,42658,23177,16,4952
3204,41620,23128,17,5542
724,45070,23622,18,6178
3836,47747,21400,19,9610
2746,48038,27253,20,6131
11692,57485,36509,21,5972
2749,37003,20053,22,5169
2940,48233,22704,23,8667
2622,50000,24269,24,8388
721,35034,16295,25,2117
2844,32442,16842,26,4316
2543,33271,18339,27,4259
12682,41520,22093,28,5021
1340,31635,16756,29,5362
812,37535,19864,30,4853
4430,57020,32731,31,8553
2867,35218,16468,32,6277
20670,57057,27929,33,12598
594,45050,20401,34,7868
1999,44662,21838,35,6628
3051,55814,31453,36,8464
3224,78301,53716,37,11672
921,41738,21809,38,5698
7101,37201,20440,39,5589
3309,38631,20637,40,4657
15894,56739,34223,41,7914
3540,39957,21417,42,7069
1855,36890,20859,43,4942
982,34865,19144,44,4738
1582,32888,18458,45,3449
4216,44634,24643,46,4903
5787,38053,22015,47,5127
9810,40392,21583,48,5584
2894,39580,22079,49,5714
3790,43396,22581,50,6070
8621,62565,40019,51,8817
1760,43073,24596,52,5769
7224,41508,21254,53,6237
3230,48353,21839,54,8258
11550,45988,24522,55,7976
2287,40082,19280,56,5413
5764,39469,21698,57,4797
4146,37149,21040,58,5059
14062,40916,22385,59,6585
1727,34813,17431,60,3891
1976,58387,34681,61,7958
2165,49340,25192,62,7609
1579,41050,22340,63,6685
13572,51459,24117,64,9640
3039,35054,17824,65,6565
3038,36548,20145,66,4110
6142,39919,21741,67,6084
3152,52877,31371,68,8038
5176,43714,21268,69,7342
6299,33863,18897,70,3742
10110,54248,32939,71,6901
2311,37395,18033,72,4819
600,29116,15336,73,3442
2192,36084,20497,74,6194
6887,38333,21856,75,4339
17957,65218,40669,76,8912
3561,47676,26495,77,6497
2303,51807,29190,78,7982
2548,34895,19664,79,5131
1325,48478,25292,80,9829
4717,39038,20164,81,7049
2747,34615,18476,82,3465
4735,55077,30788,83,8181
4472,38865,18567,84,7446
1849,40348,20813,85,5076
3180,33471,17509,86,5759
2841,48201,27408,87,5257
1868,41815,24960,88,4825
1077,40043,19773,89,6510
12338,58110,27874,90,7744
6430,45670,21728,91,5443
2134,40759,20641,92,7321
4658,36534,18117,93,6622
5702,48614,20477,94,10425
3137,43770,24573,95,5570
2608,46202,24651,96,6223
2803,48085,27119,97,6959
1023,33089,18368,98,5333
931,36190,16380,99,5009
5436,38404,19229,100,5246
916,38104,20663,101,4728
1290,42428,21644,102,6063
2992,33334,17663,103,4675
2709,37161,18968,104,5185
4216,40552,23176,105,4003
4421,39703,22212,106,5147
862,52444,27671,107,8179
6157,63969,40435,108,9205
1847,66091,43660,109,4620
5726,39853,20928,110,7333
8093,50008,25521,111,9679
1635,42446,22707,112,5074
1549,39182,21004,113,4578
1629,51150,27614,114,8676
2879,43449,27876,115,3983
1065,44858,24582,116,4996
16441,59103,29829,117,12524
2992,48537,23508,118,6470
2402,41976,24108,119,4892
2924,39738,21127,120,4939
734,36739,18219,121,5026
13971,40898,20405,122,8268
1830,31725,18027,123,3908
5825,44204,23111,124,5931
2417,38735,20163,125,6099
5963,48443,25186,126,7561
1466,41147,22487,127,5002
1278,41022,22210,128,6835
2607,49594,28461,129,6877
1558,38981,21295,130,5826
2552,38933,21387,131,5626
3677,41539,21866,132,7036
10358,42181,22764,133,6082
1964,42055,21518,134,6495
2761,37977,20092,135,5197
7442,40445,21132,136,5916
1853,31098,16850,137,4909
3048,49449,24432,138,8074
945,36462,17635,139,7136
1325,49774,24997,140,9446
1841,44119,21832,141,6565
3292,38777,20050,142,5651
3206,40278,22419,143,4924
4062,55552,29593,144,9388
1175,35395,19484,145,3052
2507,41531,21268,146,6684
7534,41380,22464,147,5223
3271,38079,19021,148,6883
8987,41510,22787,149,5354
1162,42467,21312,150,6758
18437,77411,47797,151,11072
8833,42082,22804,152,7083
3748,45811,22853,153,5544
1462,35597,19989,154,4650
3896,40177,22531,155,4625
4762,34833,18676,156,5610
3983,40822,20336,157,7308
14303,81143,57360,158,8642
1557,35699,19108,159,3748
2317,36328,19337,160,5522
1219,31453,16425,161,3381
1618,67188,38821,162,7741
2279,35761,18866,163,3670
5534,52939,30694,164,7864
9020,43185,24053,165,5713
1325,44904,20865,166,7364
2365,45598,22939,167,5298
1690,59367,29210,168,11143
8097,71982,39007,169,9135
12505,42189,22950,170,6882
10635,38680,21367,171,6250
845,31473,16852,172,4998
1958,35749,17571,173,4312
3824,43298,21690,174,5049
2301,48401,30083,175,5296
1711,54199,26238,176,11535
2331,41461,19429,177,6640
2490,39797,22975,178,5233
4609,53824,31346,179,7857
1110,38751,20381,180,6838
1687,53383,31278,181,8101
1613,38920,17245,182,6798
1443,44898,25404,183,5321
11817,44069,23868,184,6878
1311,34100,17191,185,5238
4341,61446,39024,186,8376
7374,54938,28309,187,10506
2691,62144,29855,188,15327
6544,65928,45037,189,7510
2629,34215,17896,190,4481
5645,38562,20612,191,5154
4027,41181,20055,192,5972
1509,45742,22670,193,5808
1212,38437,17056,194,5103
9782,45624,23233,195,6779
1402,37640,18393,196,5227
6499,39265,20994,197,5931
5850,65247,34141,198,11367
16088,48384,24324,199,7325
2055,41475,20564,200,6139
861,36768,19425,201,5822
862,39346,21417,202,4275
2767,37611,19657,203,6031
1269,56997,32308,204,6329
1137,44535,21975,205,6951
1749,59313,36768,206,8594
3805,41898,21576,207,4566
4389,38160,20686,208,5582
1141,35329,18145,209,4144
16691,58863,35543,210,7951
7765,43514,22816,211,5442
16913,48305,26718,212,8002
1893,51147,29447,213,5821
6263,39846,20138,214,6228
6170,37347,19913,215,3885
5246,47778,25177,216,8777
1186,42076,17607,217,5169
706,40051,20736,218,6345
7034,41914,23257,219,5340
942,34132,18843,220,4867
3492,40266,21286,221,7297
2000,44800,26081,222,4687
2613,42349,20354,223,7834
7547,38826,22442,224,4854
1985,63373,37396,225,10044
4359,37312,21106,226,4761
2318,38873,22812,227,6554
4724,36824,20681,228,4542
3922,39037,21382,229,5701
1569,38471,21306,230,4543
3843,53797,30541,231,7603
5966,44522,25455,232,5995
4478,41947,21983,233,6192
793,32553,17234,234,2879
1360,54033,31311,235,6316
2737,44194,26281,236,5826
5833,38773,17194,237,6440
1016,37785,17486,238,6276
7652,50586,25074,239,7676
4178,54821,30915,240,8779
6752,52921,28530,241,7352
3325,57069,35769,242,7772
2811,55490,32894,243,7531
1033,44795,22447,244,5929
1782,53020,30457,245,6984
1343,41596,20984,246,5813
843,46538,25100,247,6591
1376,45610,22870,248,5796
3758,46505,21417,249,7046
3707,41647,23017,250,3959
1249,36067,20839,251,4050
2438,41926,19841,252,8144
8260,43217,22792,253,6167
4062,53054,25116,254,13758
1799,33548,18036,255,4087
4822,34074,18271,256,5531
749,51373,26531,257,7602
3992,38099,18541,258,6611
2247,39075,20148,259,6685
6475,37278,18503,260,5418
2231,35774,18006,261,5849
3801,46216,23823,262,9105
5934,37429,20877,263,5150
4893,36426,18805,264,5100
1058,35620,18256,265,6499
951,41007,21646,266,6170
16573,43093,24485,267,5586
2937,38923,21250,268,6231
2474,50210,24269,269,8380
1436,45701,26196,270,7376
1691,45315,24714,271,4227
6065,36397,20080,272,4623
2345,42042,21572,273,5895
2553,58538,36907,274,6672
3676,37032,18942,275,5180
3904,49006,24485,276,7437
1012,40231,19961,277,6436
1305,41330,21440,278,7261
1703,44410,22045,279,9375
5262,43244,23193,280,6470
2505,36731,18394,281,6374
1517,37480,19961,282,4522
3376,42297,20681,283,6245
6514,43759,21006,284,6807
2236,37179,19829,285,4159
1457,41886,24251,286,4641
3416,46521,22955,287,8020
1247941,46412,25376,288,6862
2465,35812,19726,289,5599
2002,56851,31778,290,7102
945,47509,24219,291,9048
1834,36198,18750,292,5197
9059,51230,31553,293,6374
1219,35164,18149,294,4557
1129,35446,18436,295,4915
4746,59501,35804,296,9155
7905,39458,20583,297,5818
1478,42195,17829,298,9912
2085,43386,19552,299,9815
3669,47608,27322,300,6149
2189,43191,22907,301,5387
1984,37335,22094,302,4486
5381,40154,22244,303,5164
2367,56080,29281,304,11706
1270,34705,17819,305,3792
2248,38980,19736,306,7062
4369,45946,24963,307,8635
